series,district,block,facility,quantity
2021,I,A,FW,6.4
2021,J,E,FW,6.4
2021,K,D,FW,6.4
2017A,A,A,DC,12.8
2017A,A,B,FW,6.4
2017A,B,B,FW,12.8
2017A,L,G,FW,12.8
2017,L,F,DC,12.8
2013,A,B,FW,6.4
2013,C,C,FW,12.8
2013,D,H,FW,6.4
2013,E,E,DC,12.8
2013,G,I,FW,12.8
2009,B,B,FW,6.4
2009,C,D,FW,6.4
2009,F,B,FW,12.8
2009,F,N,DC,6.4
2009,I,A,DC,12.8
2009,L,X,FW,12.8
2006,B,B,FW,6.4
2006,C,D,FW,12.8
2006,C,G,FW,6.4
2006,E,E,DC,12.8
2006,I,C,FW,12.8
2003A,A,D,DC,12.8
2003A,B,K,DC,6.4
2003A,D,E,DC,6.4
2003A,F,P,FW,6.4
2003A,K,H,FW,6.4
2003,F,D,DC,6.4
2001,B,H,DC,6.4
2001,I,A,DC,6.4
2001,K,D,FW,12.8
1999,F,E,DC,12.8
1999,F,L,DC,12.8
1999,F,M,FW,6.4
1999,I,A,FW,12.8
1995,A,N,DC,6.4
1995,E,T,DC,6.4
1995,F,P,FW,12.8
1995,F,Q,DC,6.4
1995,F,T,DC,12.8
1995,J,F,DC,12.8
1995,L,T,DC,6.4
1993,D,B,DC,12.8
